DHQ Food Group Code,DHQ Food Group Name,CSFII 1994-96 Food Code,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Food Group,Subgroup,Food Item,Serving size,Oxalate Category,Oxalate Value,Food Description in 1994-96 CSFII,GI Value,"GI Links to:   Foster-Powel K, Holt, SHA, Brand-Miller JC. International table of glycemic index and glycemic load values: 2002. Am J Clin Nutri 2002;76:5-56."
880.1,Cabbage/sauerkraut,75104000,Cabbage,"Cabbage, Chinese, raw",75104000,1,2681,0,2.18,0,6.4,1.0,40,0,0.5,1.5,0,0.07,0.5,1.18,0.04,95.32,0.015,0.096,0.027,0.2,105,0.021,0.8,19,37,252,65,0.19,223,0.0,0.194,45.0,0.09,45.5,Vegetables,Vegetables,Bok Choy (Chinese Cabbage,"1 cup, raw",Very Low,1,"Cabbage, Chinese, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
890.1,"Peas, NFA",75120000,Green peas,"Green peas, raw",75120000,21,449,0,14.45,0,28.4,5.7,2477,0,2.09,5.42,0,0.132,1.8,5.67,0.266,78.86,0.035,0.187,0.071,0.4,25,0.176,1.47,33,108,244,5,1.24,38,0.0,0.169,40.0,0.13,24.8,Vegetables,Vegetables,Peas,1/2 cup,Very Low,1,"Peas, green, raw",48.0,595;VEGETABLES;;Green peas;Mean of 3 studies
890.1,"Peas, NFA",75127750,Snowpeas,"Snowpeas, raw",75127750,44,630,0,7.55,0,17.4,2.6,740,0,0.6,2.8,0,0.08,0.7,4.0,0.15,88.89,0.021,0.089,0.039,0.2,43,0.079,2.08,24,53,200,4,0.27,54,0.0,0.16,60.0,0.39,25.0,Vegetables,Vegetables,Peas,1/2 cup,Very Low,1,"Snowpeas (pea pod), raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
900.1,"Corn, NFA",75109600,Corn,"Corn, raw",75109600,16,47,115,18.7,0,23.0,2.0,644,0,1.77,3.27,0,0.055,0.6,6.26,0.155,76.05,0.432,0.487,0.325,1.35,2,0.054,0.52,37,89,270,15,0.46,9,0.0,0.093,6.8,0.07,0.3,Vegetables,Vegetables,Corn,1/2 cup,Very Low,1,"Corn, raw",53.5,"265;CEREAL GRAINS;Corn and maize;Sweet corn;Mean of 6 studies
597;VEGETABLES;;Sweet corn;Mean of 6 studies"
910.1,"Caulifl/Br Spr, NFA",75102750,Brussels sprouts,"Brussels sprouts, raw",75102750,6,450,0,8.95,0,19.1,3.8,1590,0,0.745,3.38,0,0.09,1.6,2.2,0.139,86.0,0.023,0.153,0.062,0.3,42,0.07,1.4,23,69,389,25,0.42,38,0.0,0.219,85.0,0.88,177.0,Vegetables,Vegetables,Brussel Sprouts,1/2 cup frozen,Very Low,2,"Brussels sprouts, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
910.1,"Caulifl/Br Spr, NFA",75107000,Cauliflower,"Cauliflower, raw",75107000,0,0,0,4.97,0,44.3,2.0,1,0,0.507,1.92,0,0.06,0.6,1.91,0.05,92.07,0.034,0.031,0.13,0.28,22,0.039,0.42,15,44,299,30,0.27,0,0.0,0.184,48.2,0.08,15.5,Vegetables,Vegetables,Cauliflower,1/2 cup cooked,Very Low,1,"Cauliflower, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
940.1,"Peppers, NFA",75122100,Pepper,"Pepper, sweet, green, raw",75122100,21,208,7,4.64,0,5.5,1.7,341,0,0.48,0.86,0,0.028,0.0,2.4,0.057,93.89,0.008,0.062,0.058,0.17,10,0.066,0.34,10,20,175,3,0.13,18,0.0,0.224,80.4,0.37,7.4,Vegetables,Vegetables,Green Pepper,1 ring,Very Low,1,"Pepper, sweet, green, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
942.1,"Peppers, hot",75121000,Pepper,"Pepper, hot chili, raw",75121000,52,548,72,7.66,0,9.2,2.2,785,0,1.262,1.39,0,0.078,0.4,4.71,0.056,89.86,0.027,0.176,0.067,0.4,13,0.088,0.64,19,34,285,6,0.2,51,0.0,0.463,131.2,2.13,16.2,Vegetables,Vegetables,Hot Chili Peppers,1/2 cup,Moderate,5,"Pepper, hot chili, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
950.1,"Onions, NFA",75117010,Onions,"Onions, green, raw",75117010,0,598,0,7.34,0,5.7,2.6,1137,0,0.525,1.83,0,0.08,0.6,2.33,0.055,89.83,0.027,0.074,0.032,0.19,72,0.083,1.48,20,37,276,16,0.39,50,0.0,0.061,18.8,0.55,207.0,Vegetables,Vegetables,Scallions,1/2 cup,Very Low,1,"Onions, young green, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
950.1,"Onions, NFA",75117020,Onions,"Onions, raw",75117020,0,1,0,9.34,0,6.1,1.7,4,0,0.116,1.1,0,0.027,0.5,4.24,0.046,89.11,0.013,0.017,0.042,0.1,23,0.039,0.21,10,29,146,4,0.17,0,0.0,0.12,7.4,0.02,0.4,Vegetables,Vegetables,Onions,1 small onion,Little or None,0,"Onions, mature, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
